event_id,market_id,platform,event_title,market_question,jurisdiction,category,start_date,end_date,closed_time,total_volume,volume_24h,volume_1w,volume_1m,volume_1y,liquidity,liquidity_amm,liquidity_clob,open_interest,num_outcomes,outcomes,winning_outcome,resolution_source,resolution_notes,clob_token_ids,price_history_available
14023,511754,Polymarket,Who will be inaugurated as President? ,Will Donald Trump be inaugurated?,,,2024-11-01T22:47:12.269661Z,2025-01-20T12:00:00Z,2025-01-20 22:51:36+00,400409526.886835,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",Yes,,"This market will resolve to ""Yes"" if Donald J. Trump is inaugurated as President of the United States. Otherwise, this market will resolve to ""No"".

Inauguration day is currently scheduled for January 20, 2025. If inauguration day is delayed, this market will remain open until someone has been inaugurated. If no one has been inaugurated by January 31, 2025, 11:59 PM ET, this market will resolve to ""No"". 

The primary resolution source for this market will be information from the US government, however a consensus of credible reporting will also be used.","['45714870634090908403813747458214625542376052548606303175331201110938821302832', '81903344213938200361285862519406650037576398044514748634670292917494365866240']",True
14228,512340,Polymarket,(Old) Romania Election,Will Nicolae Ciucă win the 2024 Romanian Presidential election?,,,2024-11-08T00:21:10.582932Z,2025-04-30T12:00:00Z,2025-05-01 09:18:53+00,326507670.562732,,11979795.62,152186587.875166,326507670.56273204,,,,0.0,2,"['Yes', 'No']",No,,"Presidential elections will be held in Romania on 24 November 2024. A second round will be held on 8 December 2024 if no candidate receives an absolute majority of the vote.

This market will resolve to ""Yes"" if Nicolae Ciucă wins this election. Otherwise, this market will resolve to ""No"".

This market includes any potential second round. If the result of this election isn't known by April 30, 2025, 11:59 PM ET, the market will resolve to ""No"".

This market will resolve solely based off the first official announcement of the election results from the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).
","['53033438245279373213426094525005043480366615306824323472317521871682514379120', '59618000103872045883924272587382664437569966578424869104128564655378953160740']",True
12623,507242,Polymarket,Pennsylvania Margin of Victory,Will the Democratic candidate win Pennsylvania by 1.5%-2.0%?,,,2024-09-17T23:28:54.081926Z,2024-11-05T12:00:00Z,2024-12-05 04:16:19+00,109063759.600993,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes” if the Democratic Party candidate wins the popular vote in Pennsylvania in the 2024 U.S. Presidential Election by between 1.5% (inclusive) and 2.0% (exclusive) when compared with the second place candidate. Otherwise, this market will resolve to ""No"".

For the purpose of resolving this market, the 'margin of victory' is defined as the absolute difference between the percentages of votes received by the Democratic Party candidate and the second-place candidate. Percentages of the votes received by each party will be determined by dividing the total number of votes each of the top two candidates receives by the sum of all votes cast in Pennsylvania for the 2024 U.S. Presidential Election.

This market will resolve based off the official vote count once Pennsylvania has certified the vote. 

If a recount is initiated before certification, the market will remain open until the recount is completed and the vote is certified. If a recount occurs after certification, the recount will not be considered.","['50359548234039960292196003199462920229740483405247698708858122753748162136710', '37216002198068335704548623054992010338811654161235074096184479870463026341679']",True
11968,504873,Polymarket,Democratic VP nominee on election day?,Will Gavin Newsom be D-nom for VP on Election Day?,,,2024-08-09T22:06:58.198296Z,2024-11-04T12:00:00Z,2024-11-05 14:09:03+00,92886849.31616,,0.0,0.0,0.0,,,,,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes"" if Gavin Newsom is the official 2024 nominee of the Democratic Party for U.S. vice president on November 4, 2024, 11:59 PM ET. Otherwise, this market will resolve to “No”.

The resolution source for this market will be a consensus of official Democratic Party sources, including https://democrats.org/.
 ","['87856116025836548805521972902914933594725243769326425250809353505894606641631', '106243684813007257594120019414737403734811980133622093318580768752843970007093']",True
22254,534189,Polymarket,Next president of South Korea?,Will Lee Jae-myung be elected the next president of South Korea?,,,2025-04-04T22:52:37.259007Z,2025-06-03T12:00:00Z,2025-06-03 21:33:32+00,88035547.447225,,44220305.42825194,74226172.32089475,88035547.44722442,,,,0.0,2,"['Yes', 'No']",Yes,,"South Korean presidential elections will occur on or before June 3, 2025 following the impeachment of Yoon Suk Yeol.

This market will resolve according to the next elected president of South Korea following this election.

Any interim/acting President will not count toward the resolution of this market.

If no next President of South Korea is elected by February 28, 2026, 11:59 PM ET this market will resolve to ""Other"".

The primary resolution source for this market will be official information from the Government of South Korea, however a consensus of credible reporting may also be used.","['106153378961102532315642223211322829491902773315904192835321056658787574388535', '77444435762420711044339640645792265526010696615911175439180482698545420366139']",True
16868,519075,Polymarket,Romania Presidential Election Winner,Will Hunor Kelemen win the Romanian presidential election?,,,2025-01-17T22:05:39.682487Z,2025-05-18T12:00:00Z,2025-05-19 05:38:37+00,80897096.543524,,16000.0,54690.0,80897096.543524,0.0,,,0.0,2,"['Yes', 'No']",No,,"The first round of the Romanian presidential election, originally held on November 24, 2024, was annulled by the Constitutional Court. On January 16, Romania's coalition government approved a re-run of the presidential election. It is scheduled for May 4, with a second round on May 18, if no candidate receives an absolute majority of the vote (see: https://www.reuters.com/world/europe/romania-confirms-date-tightens-rules-presidential-election-rerun-2025-01-16/).

This market will resolve to the individual who wins the next Romanian presidential election including any potential second round.

This market is inclusive of any election which results in the selection of the next Romanian President. For example, if Romania decides to recertify the results of the November 2024 election, this market would resolve accordingly.

If the result of this election isn't known by December 31, 2025, 11:59 PM ET, the market group will resolve to ""Other"".

This market will resolve based on the result of the election as indicated by a consensus of credible reporting. If there is ambiguity, this market will resolve based solely on the official results as reported by the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).
","['76281740581554871499625003009408244592747070827294693281849801034738430468659', '5779930821109846262669669484867584068088577191267413527354857886763878120297']",True
22254,534197,Polymarket,Next president of South Korea?,Will Kim Moon-soo be elected the next president of South Korea?,,,2025-04-04T22:52:37.259007Z,2025-06-03T12:00:00Z,2025-06-03 21:49:12+00,73197949.803466,,53588346.42246207,68680906.955262,73197949.80346584,,,,0.0,2,"['Yes', 'No']",No,,"South Korean presidential elections will occur on or before June 3, 2025 following the impeachment of Yoon Suk Yeol.

This market will resolve according to the next elected president of South Korea following this election.

Any interim/acting President will not count toward the resolution of this market.

If no next President of South Korea is elected by February 28, 2026, 11:59 PM ET this market will resolve to ""Other"".

The primary resolution source for this market will be official information from the Government of South Korea, however a consensus of credible reporting may also be used.","['88367287191881225139620787713565692597802556472947648475077029086743269748668', '81571664702088275676361008077896353891715141859428403243395296966269838397575']",True
14023,511753,Polymarket,Who will be inaugurated as President? ,Will Kamala Harris be inaugurated?,,,2024-11-01T22:47:12.269661Z,2025-01-20T12:00:00Z,2025-01-21 00:20:56+00,72247146.4466322,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes"" if Kamala Harris is inaugurated as President of the United States. Otherwise, this market will resolve to ""No"".

Inauguration day is currently scheduled for January 20, 2025. If inauguration day is delayed, this market will remain open until someone has been inaugurated. If no one has been inaugurated by January 31, 2025, 11:59 PM ET, this market will resolve to ""No"". 

The primary resolution source for this market will be information from the US government, however a consensus of credible reporting will also be used.","['70948999046678954944326787736190690890568173143213485913437360277446343508580', '12281160367645562427655326652447690861620454304704683288492828384648426658299']",True
16125,516767,Polymarket,Next Prime Minister of Canada after the election?,Will Pierre Poilievre be the next Canadian Prime Minister?,,,2024-12-30T15:21:50.51643Z,2025-04-28T12:00:00Z,2025-04-30 11:29:47+00,67376035.838465,,39499515.403054975,60081131.17554616,67376035.83846536,,,,0.0,2,"['Yes', 'No']",No,,"The next Canadian federal election will take place on or before October 20, 2025, to elect members of the House of Commons to the 45th Canadian Parliament.

This market will resolve to ""Yes"" if Pierre Poilievre is the next Prime Minister of Canada following the election. Otherwise, this market will resolve to ""No.""

Any interim/caretaker Prime Minister will not count toward the resolution of this market. If no next Prime Minister of Canada is instated by December 31, 2025, 11:59 PM ET this market will resolve to ""No.""

The primary resolution source for this market will be official information from the Government of Canada, however a consensus of credible reporting may also be used.","['304223829867910478181460849192477530685410813637096841629263146254608207526', '107945661229032133314278422758316384974042957235190601935788628895276141846095']",True
14033,512246,Polymarket,Who will be the Speaker of the House?,Will Austin Scott be the first elected Speaker of the House for the 119th congress?,,,2024-11-06T23:07:10.55229Z,2025-02-01T12:00:00Z,2025-01-03 23:22:49+00,67258993.77656,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,https://www.youtube.com/watch?v=NRvAY2eWTEs,"This market will resolve to ""Yes"" if Austin Scott becomes the first-elected Speaker of the House in the 119th United States Congress. Otherwise, this market will resolve to ""No"".

Any individual elected to be, appointed to be, or serving as Speaker pro tempore in the 119th congress will have no bearing on the resolution of this market. Only the first-elected Speaker of the House will count toward the resolution of this market.

If the election for the first Speaker for the 119th Congress is not finalized by June 30, 2025, 11:59 PM ET, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the government of the United States of America (ex: https://www.speaker.gov/, https://www.house.gov/), however credible reporting may be used.","['83081225549464525786604921429823254061702747984805625369909547871933046013906', '65560207284874123441584537082169611042873507837195788078935581907371546857254']",True
