jurisdiction,level,source_name,url,description,access,update_frequency,feasibility,feasibility_notes
United States,national,Federal Election Commission – Certified Results and Filings,https://www.fec.gov/data/,"Official certified federal election results, candidate filings, and independent expenditure reports.",Open government data,Daily during election periods; certified results after canvass (weeks).,High,Legally authoritative with structured CSV/JSON downloads; lag tied to state certification but reliable for federal races.
United States,national,Associated Press Elections API,https://developer.ap.org/ap-elections-api/,Real-time and historical race calls across federal and statewide contests.,Commercial license,Minutes during election night; periodic thereafter.,High,Industry-standard feed for rapid projections; requires paid access and integration work.
United States,national,MIT Election Data and Science Lab – Official Returns,https://electionlab.mit.edu/data,Aggregated precinct- and county-level results in machine-readable formats.,Open academic use,Released weeks to months after certification.,Medium,High data quality but slower refresh cadence; excellent for retrospective validation.
Nevada,state,Nevada election office,https://www.nvsos.gov/sos/elections,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Nevada,state,Ballotpedia – Nevada elections portal,https://ballotpedia.org/Nevada,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Nevada,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Pennsylvania,state,Pennsylvania election office,https://www.dos.pa.gov/VotingElections/Pages/default.aspx,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Pennsylvania,state,Ballotpedia – Pennsylvania elections portal,https://ballotpedia.org/Pennsylvania,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Pennsylvania,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Wisconsin,state,Wisconsin election office,https://myvote.wi.gov/en-us/,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Wisconsin,state,Ballotpedia – Wisconsin elections portal,https://ballotpedia.org/Wisconsin,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Wisconsin,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Montana,state,Montana election office,https://sosmt.gov/elections/,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Montana,state,Ballotpedia – Montana elections portal,https://ballotpedia.org/Montana,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Montana,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Ohio,state,Ohio election office,https://www.sos.state.oh.us/elections/voters/,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Ohio,state,Ballotpedia – Ohio elections portal,https://ballotpedia.org/Ohio,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Ohio,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Arizona,state,Arizona election office,https://azsos.gov/elections,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Arizona,state,Ballotpedia – Arizona elections portal,https://ballotpedia.org/Arizona,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Arizona,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Texas,state,Texas election office,https://www.sos.state.tx.us/elections/index.shtml,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Texas,state,Ballotpedia – Texas elections portal,https://ballotpedia.org/Texas,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Texas,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Maryland,state,Maryland election office,https://elections.maryland.gov/,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Maryland,state,Ballotpedia – Maryland elections portal,https://ballotpedia.org/Maryland,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Maryland,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Florida,state,Florida election office,https://www.dos.myflorida.com/elections/,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
Florida,state,Ballotpedia – Florida elections portal,https://ballotpedia.org/Florida,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
Florida,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
California,state,California election office,https://www.sos.ca.gov/elections,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
